Unité,Famille,Item,Rep,Designation,DN,PN,MatiereJ,Rondelle,MatiereB,Mise,Nom,MatJ,Dim,Visu,Neuve,Rond,Equi,Grais,LgDiam,MatB,Para,Exc,E,J,B,A,Conf
HDS,Ballon,D1153,a,ENTREE,450,20,Spiralé,Non,B7,O,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,b,SORTIE GAS OIL,50,20,Spiralé,Non,B7,O,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,c,EQUILIBRAGE EVENT,50,50,Spiralé,Non,B7,N,N,A,,,,,,,,,,,O,,,,
HDS,Ballon,D1153,d,SORTIE EAU,50,20,Spiralé,Non,B7,O,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,e,SORTIE EAU,20,20,Spiralé,Non,B7,O,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,f,TH,50,50,RTJ,Oui,H7,O,,O,O,O,,,,,,,,,,P,,,
HDS,Ballon,D1153,g,TH,50,50,RTJ,Oui,H7,O,,O,,,,,,,,,,,,,,,
HDS,Ballon,D1153,h,,250,20,Spiralé,Non,B7,O,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,i,PIQUAGE HAUT LG,150,20,Spiralé,Non,B7,O,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,j,PIQUAGE BASLG,250,20,Spiralé,Non,B7,O,,O,A,N,,,,,,,,,,O,,,
HDS,Ballon,D1153,k,PIQUAGE HAUT LG,50,50,Spiralé,Non,B7,O,O,N,A,N,N,O,O,O,O,O,O,O,P,O,O,P,O
HDS,Ballon,D1153,l,PIQUAGE BAS LG,20,20,Spiralé,Non,B7,O,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,m,PIQUAGE HAUT LIC150,50,50,Spiralé,Non,B7,O,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,n,PIQUAGE BAS LIC150,,,,,,N,O,O,A,N,A,O,O,O,O,O,O,O,O,O,O,P,O
HDS,Ballon,D1153,o,PIQUAGE HAUT LHA151,,,,,,,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,p,PIQUAGE BAS LHA151,,,,,,O,O,O,N,N,,,,,,,,,P,O,,,
HDS,Ballon,D1153,q,PIQUAGE HAUT LLA152,,,,,,,,,,,O,,O,N,O,,,,,,,,
HDS,Ballon,D1153,r,PIQUAGE BAS LLA152,,,,,,,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,s,PIQUAGE HAUT LDIC,,,,,,,,,,,,,,,,,,,,,,,
HDS,Ballon,D1153,t,PIQUAGE BAS LDIC,,,,,,,,,,,,,,,,,,,,,,,
HDS,Ballon,D1155,1,Entrée Vapeur Liquide,,,,,,,,,,,,,,,,,,,,,,,
HDS,Ballon,D1155,2,Sortie Vapeur,,,,,,,,,,,,,,,,,,,,,,,
HDS,Ballon,D1155,3,Sortie Liquide HC vers P1151,,,,,,,,,,,,,,,,,,,,,,,
HDS,Ballon,D1155,4,Sortie d'Eau,,,,,,,,,,,,,,,,,,,,,,,
